Title,Place,Job_type,Department,Date,Overall_rating,work_life_balance,skill_development,salary_and_benefits,job_security,career_growth,work_satisfaction,Likes,Dislikes
Professional Logistics,Chennai,Full Time,SCM & Logistics Department,5 Sep 2023,3.0,3.0,1.0,3.0,3.0,2.0,2.0,"Company provide free of cost transportation
Good medical insurance policies including parents","Montonous work
Manager don't assign responsibility to others
Team culture depends on Korean I.e. Expat
Learning is less... PPL at top level are worki6gor more than 10 years... new ideas r not welcomed"
Supervisor Instructor,Noida,Full Time,Production & Manufacturing Department,1 Sep 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Samsung India electronics company bhut acchi h 
Maine usme 1 year experience bhi kiya h","Koi bhi problem nhi h company ki 
Sab kuchh accha hai"
Quality Inspector,Noida,Full Time,Quality Assurance and Testing Department,3 Aug 2023,4.0,4.0,4.0,4.0,4.0,4.0,4.0,Everything in Samsung India Pvt Ltd is done in good quality and at a critical level,Samsung private limited I eat discipline with different protein available and cleanliness is good
Lead Engineer,Noida,Full Time,Software Development Department,6 Aug 2023,4.0,3.0,4.0,5.0,5.0,4.0,3.0,There is a lot of scope to learn.,The rating system is not transparent. Maintaining a bell curve and doing justice to employee performance is inherently skewed and faulty.
Zonal Sales Manager,Chennai,Full Time,Retail & B2C Sales Department,1 Aug 2023,4.0,2.0,3.0,3.0,3.0,3.0,4.0,Wonderful data and tracking mechanism. Innovation at its best,At times we don't accept the market reality
Customer Experience Executive,"Faridabad, Haryana",Full Time,Sales Department,1 Aug 2023,1.0,1.0,2.0,4.0,1.0,1.0,1.0,Salary is good,"Don't join if you have another opportunity. 
Join only who people's which is Don't want work life balance.salary is good but job security nill.if you not perform as per company norms or your work area not perform example :-your counter owner not intrested to sale samsung products so you not perform well at any condition.company not given advance notice.company fired on the stop at any time."
Key Account Manager,Chennai,Full Time,Enterprise & B2B Sales Department,4 Aug 2023,4.0,3.0,4.0,4.0,4.0,4.0,4.0,"Good Infrastructure, Great Global Brand, Capex, Investment, Research rich company.",Work Life Balance.
Chief Engineer,"Bengaluru/Bangalore, Karnataka",Full Time,Software Development Department,4 Aug 2023,5.0,4.0,4.0,4.0,4.0,4.0,4.0,"job security, very driven company, management does recognise, colleagues are great","got vitamin deficiency due to lack of sun, 8 hours must be spent inside office"
Ware House Inspector,Hyderabad/Secunderabad,Full Time,Service Delivery Department,8 Jul 2023,5.0,5.0,3.0,5.0,5.0,5.0,3.0,It's a very good organization. We can enjoy the work and less pressure on employes.,Growth will come slowly.. but u can gain more knowledge during our working hours. It will helpful for our future projects
Regional Sales Officer,"Guwahati, Assam",Full Time,Enterprise & B2B Sales Department,8 Jul 2023,5.0,4.0,5.0,4.0,4.0,4.0,3.0,Good company to work with.Have spent a decade in this Korean giant.Better market adaptability. Very good corporate culture . Learning and development and work life balance is at the best.Management is very supportive,Appraisal and promotion
Administration Manager,"Gurgaon/Gurugram, Haryana",Full Time,Administration Department,3 Jul 2023,1.0,1.0,1.0,3.0,1.0,1.0,3.0,"The process and practices are very good.
The social culture and entertainment is amazing.","Micro Management
Trust Issues
Over Budden
Work division is not balanced
Not employee friendly
No work from home culture
Employee safety and health is not concerned
Team members are not good
HR is just the informer of management
HR doesn't listen or care about employees
Wrong approach
Too much office politics
Some expats are very rude"
Manager-channel Sales,Gurgaon/Gurugram,Full Time,Retail & B2C Sales Department,3 Jul 2023,4.0,4.0,4.0,5.0,3.0,3.0,3.0,"salary and benefits are best in industry 
Very strong Company in terms of Policies and desicipline","Job security 
promotion to next level in not there 
salary is increased to a level where industry cannot match"
Senior Manager,Noida,Full Time,Administration Department,2 Jul 2023,4.0,4.0,3.0,4.0,4.0,3.0,4.0,"AC buses transport facility 
Food facility
Appraisals on time
Salary on time",Not much to me...but I want to grow my profile but nothing much can be done in that.. I understand still seeking opportunity
Associate II HRBP,Gurgaon/Gurugram,Contractual,HR Operations Department,8 Jun 2023,3.0,3.0,1.0,2.0,2.0,4.0,2.0,Office cab for pickup and drop,"No individual training programs
Increment is half of what regular employees get it 
Direct outsource will be doing back office job
No conversion policy from off roll to on roll"
Samsung Experience Consultant,Mumbai,Part Time,Marketing Department,7 Jun 2023,5.0,5.0,5.0,5.0,5.0,5.0,5.0,"Skill Development chance and learning, work life balance and benefits, work satisfaction, company culture is very good",Does not promote early and does not increase salary
Machine Operator And Maintenance,Noida,Full Time,"Operations, Maintenance & Support Department",4 Jun 2023,5.0,5.0,3.0,5.0,3.0,3.0,4.0,Companies facilities infrastructure is very good . Salary got timely.,Politics is over the head. There is no value for hard worker. Who knows well skill about politics his job his roll in company is very good and every person like them. But who do hard work and disciplined means he is the waste of all.
Area Manager - Sales,"Bangalore Rural, Karnataka",Full Time,Retail & B2C Sales Department,8 Jun 2023,4.0,4.0,5.0,5.0,5.0,5.0,5.0,Working in Samsung is easy as the systems are fair and open. This helps employees to be free to know where they should go,Work life balance is not so good due sales pressure
Sales Manager,Mumbai,Full Time,Retail & B2C Sales Department,7 Sep 2023,4.0,4.0,3.0,5.0,3.0,3.0,3.0,"Perks & incentives,",None are dislikes.
Operations Manager,"Gurgaon/Gurugram, Haryana",Full Time,Operations Department,7 Sep 2023,5.0,5.0,4.0,5.0,4.0,5.0,5.0,"Good work culture 
Healthy environment",Sometimes work is too more
